text,label
['monster high pitched'],2
['average imp'],2
['didn ’ t the mother destroy her daughters marriage too'],3
['the dumbest'],2
['uughhh you ain ’ t nuthin meatball ughhh i ’ ll killem atomic number 53 ’ ll killem come on meatball'],3
i would say my little pony of smtn,0
ahhh bu insanlık nereye gidiyor allah şaşırtmasın amin,0
['that is dim for the bozo world health organization is recording this'],1
"grass is a type of plant with narrow leaves growing from the base their appearance as a common plant was in the midcretaceous period there are  species now 
 
 
 
 a common kind of grass is used to cover the ground in places such as lawns and parks grass is usually the color green that is because they are windpollinated rather than insectpollinated so they do not have to attract insects green is the best colour for photosynthesis
 
 
 
 grasslands such as savannah and prairie where grasses are dominant cover  of the land area of the earth except greenland and antarctica
 
 
 
 grasses are monocotyledon herbaceous plants they include the grass of the family poaceae which are called grass by ordinary people this family is also called the gramineae and includes some of the sedges cyperaceae and the rushes juncaceae these three families are not very closely related though all of them belong to clades in the order poales they are similar adaptations to a similar lifestyle
 
 
 
 with around  genera and around  species the poaceae is the fifthlargest plant family after the asteraceae orchidaceae fabaceae and rubiaceae
 
 
 
 the true grasses include cereals bamboo and the grasses of lawns turf and grassland uses for graminoids include food as grain sprouted grain shoots or rhizomes drink beer whisky pasture for livestock thatching thatch paper fuel clothing insulation construction sports turf basket weaving and many others
 
 
 
 many grasses are short but some grasses can grow tall such as bamboo plants from the grass family can grow in many places and make grasslands including areas which are very arid or cold there are several other plants that look similar to grass and are referred to as such but are not members of the grass family these plants include rushes reeds papyrus and water chestnut seagrass is a monocot in the order alismatales
 
 
 
 grasses are an important food for many animals such as deer buffalo cattle mice grasshoppers caterpillars and many other grazers unlike other plants grasses grow from the bottom so when animals eat grass they usually do not destroy the part that grows this is a part of why the plants are successful without grass soil may wash away into rivers erosion
 
 
 
 evolution of grass
 
 grasses include some of the most versatile plant lifeforms they became widespread toward the end of the cretaceous fossilized dinosaur dung coprolites have been found containing grass phytoliths silica stones inside grass leaves grasses have adapted to conditions in lush rain forests dry deserts cold mountains and even intertidal habitats and are now the most widespread plant type grass is a valuable source of food and energy for many animals
 
 
 
 grass and people
 
 lawn grass is often planted on sports fields and in the area around a building sometimes chemicals and water is used to help lawns to grow
 
 
 
 people have used grasses for a long time people eat parts of grasses corn wheat barley oats rice and millet are cereals common grains whose seeds are used for food and to make alcohol such as beer
 
 
 
 sugar comes from sugar cane which is also a plant in the grass family people have grown grasses as food for farm animals for about  years people use bamboo to build houses fences furniture and other things grass plants can also be used as fuel to cover roofs and to weave baskets
 
 
 
 language",0
['once more we destroy some clothes to make something ugly 🙄'],3
